,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
215,Guinea,2015-02-15, Confirmed,2727,,1683
216,Guinea,2015-02-17, Confirmed,2732,,1686
217,Guinea,2015-02-17, Probable,381,,381
218,Guinea,2015-02-17, Total,3115,,2067
219,Guinea,2015-02-17, Suspected,2,,Not available
220,Guinea,2015-02-18, Suspected,2,,Not available
221,Guinea,2015-02-18, Total,3120,,2072
222,Guinea,2015-02-18, Probable,384,,384
223,Guinea,2015-02-18, Confirmed,2734,,1688
224,Guinea,2015-02-21, Confirmed,2758,,1699
225,Guinea,2015-02-21, Probable,387,,387
226,Guinea,2015-02-21, Suspected,10,,Not available
227,Guinea,2015-02-21, Total,3155,,2086
228,Guinea,2015-02-22, Probable,387,Not reported,387
229,Guinea,2015-02-22, Suspected,6,Not reported,Data not available.
230,Guinea,2015-02-22, Total,3155,152,2091
231,Guinea,2015-02-22, Confirmed,2762,152,1704
232,Guinea,2015-02-24, Total,3175,,2101
233,Guinea,2015-02-24, Confirmed,2781,,1714
234,Guinea,2015-02-24, Probable,387,,387
235,Guinea,2015-02-24, Suspected,7,,Not available
236,Guinea,2015-02-25, Confirmed,2790,,1721
237,Guinea,2015-02-25, Probable,392,,392
238,Guinea,2015-02-25, Suspected,8,,Not available
239,Guinea,2015-02-25, Total,3190,,2113
240,Guinea,2015-02-28, Suspected,5,,Not available
241,Guinea,2015-02-28, Total,3205,,2127
242,Guinea,2015-02-28, Confirmed,2808,,1735
243,Guinea,2015-02-28, Probable,392,,392
244,Guinea,2015-03-01, Suspected,14,Not reported,Data not available
245,Guinea,2015-03-01, Confirmed,2813,138,1737
246,Guinea,2015-03-01, Total,3219,138,2129
247,Guinea,2015-03-01, Probable,392,Not reported,392
248,Guinea,2015-03-03, Suspected,12,,Not available
249,Guinea,2015-03-03, Confirmed,2833,,1749
250,Guinea,2015-03-03, Probable,392,,392
251,Guinea,2015-03-03, Total,3237,,2141
252,Guinea,2015-03-04, Confirmed,2840,,1755
253,Guinea,2015-03-04, Probable,392,,392
254,Guinea,2015-03-04, Suspected,16,,Not available
255,Guinea,2015-03-04, Total,3248,,2147
256,Guinea,2015-03-07, Total,3273,,2163
257,Guinea,2015-03-07, Suspected,15,,Not available
258,Guinea,2015-03-07, Probable,392,,392
259,Guinea,2015-03-07, Confirmed,2866,,1771
260,Guinea,2015-03-08, Probable,392,,392
261,Guinea,2015-03-08, Confirmed,2871,,1778
262,Guinea,2015-03-08, Confirmed,2871,144,1778
263,Guinea,2015-03-08, Total,3285,,2170
264,Guinea,2015-03-08, Suspected,22,Not reported,Data not available.
265,Guinea,2015-03-08, Suspected,22,,Not available
266,Guinea,2015-03-08, Total,3285,144,2170
267,Guinea,2015-03-08, Probable,392,Not reported,392
268,Guinea,2015-03-10, Confirmed,2901,,1792
269,Guinea,2015-03-10, Probable,395,,395
270,Guinea,2015-03-10, Suspected,34,,Not available
271,Guinea,2015-03-10, Total,3330,,2187
272,Guinea,2015-03-11, Suspected,25,,Not available
273,Guinea,2015-03-11, Total,3331,,2192
274,Guinea,2015-03-11, Confirmed,2911,,1797
275,Guinea,2015-03-11, Probable,395,,395
276,Guinea,2015-03-14, Total,3373,,2216
277,Guinea,2015-03-14, Suspected,21,,Not available
278,Guinea,2015-03-14, Probable,395,,395
279,Guinea,2015-03-14, Confirmed,2957,,1821
280,Guinea,2015-03-15, Confirmed,2966,204,1829
281,Guinea,2015-03-15, Confirmed,2966,,1829
282,Guinea,2015-03-15, Probable,395,,395
283,Guinea,2015-03-15, Suspected,28,,Not available
284,Guinea,2015-03-15, Total,3389,,2224
285,Guinea,2015-03-15, Suspected,28,Not reported,Data not available
286,Guinea,2015-03-15, Probable,395,Not reported,395
287,Guinea,2015-03-15, Total,3389,204,2224
288,Guinea,2015-03-17, Total,3409,,2231
289,Guinea,2015-03-17, Confirmed,2979,,1836
290,Guinea,2015-03-17, Probable,395,,395
291,Guinea,2015-03-17, Suspected,35,,Not available
292,Guinea,2015-03-18, Confirmed,2988,,1846
293,Guinea,2015-03-18, Probable,395,,395
294,Guinea,2015-03-18, Suspected,21,,Not available
295,Guinea,2015-03-18, Total,3404,,2241
296,Guinea,2015-03-21, Confirmed,3007,,1863
297,Guinea,2015-03-21, Suspected,15,,Not available
298,Guinea,2015-03-21, Total,3420,,2261
299,Guinea,2015-03-21, Probable,398,,398
300,Guinea,2015-03-22, Confirmed,3011,,1865
301,Guinea,2015-03-22, Suspected,20,,Not available
302,Guinea,2015-03-22, Probable,398,,398
303,Guinea,2015-03-22, Total,3429,,2263
304,Guinea,2015-03-22, Confirmed,3011,198,1865
305,Guinea,2015-03-22, Total,3429,198,2263
306,Guinea,2015-03-22, Probable,398,Not reported,398
307,Guinea,2015-03-22, Suspected,20,Not reported,Data not available. 
308,Guinea,2015-03-24, Confirmed,3032,,1875
309,Guinea,2015-03-24, Suspected,29,,Not available
310,Guinea,2015-03-24, Probable,398,,398
311,Guinea,2015-03-24, Total,3459,,2273
312,Guinea,2015-03-25, Probable,398,,398
313,Guinea,2015-03-25, Confirmed,3042,,1878
314,Guinea,2015-03-25, Suspected,26,,Not available
315,Guinea,2015-03-25, Total,3466,,2276
316,Guinea,2015-03-28, Probable,414,,414
317,Guinea,2015-03-28, Total,3485,,2305
318,Guinea,2015-03-28, Suspected,10,,Not available
319,Guinea,2015-03-28, Confirmed,3061,,1891
320,Guinea,2015-03-29, Confirmed,3068,197,1900
321,Guinea,2015-03-29, Probable,414,Not reported,414
322,Guinea,2015-03-29, Total,3492,197,2314
323,Guinea,2015-03-29, Suspected,10,Not reported,Data not available.
324,Guinea,2015-03-29, Total,3492,,2314
325,Guinea,2015-03-29, Suspected,10,,Not available
326,Guinea,2015-03-29, Confirmed,3068,,1900
327,Guinea,2015-03-29, Probable,414,,414
328,Guinea,2015-03-31, Total,3494,,2320
329,Guinea,2015-03-31, Suspected,7,,Not available
330,Guinea,2015-03-31, Probable,414,,414
331,Guinea,2015-03-31, Confirmed,3073,,1906
332,Guinea,2015-04-05, Total,3515,123,2333
333,Guinea,2015-04-05, Probable,414,Not reported.,414
334,Guinea,2015-04-05, Suspected,12,Not reported.,Data not available. 
335,Guinea,2015-04-05, Confirmed,3089,123,1919
336,Guinea,2015-04-05, Total,3515,,2333
337,Guinea,2015-04-05, Suspected,12,,Not available
338,Guinea,2015-04-05, Probable,414,,414
339,Guinea,2015-04-05, Confirmed,3089,,1919
340,Guinea,2015-04-07, Total,3515,,2335
341,Guinea,2015-04-07, Suspected,8,,Not available
342,Guinea,2015-04-07, Confirmed,3093,,1921
343,Guinea,2015-04-07, Probable,414,,414
344,Guinea,2015-04-08, Probable,414,,414
345,Guinea,2015-04-08, Total,3524,,2337
346,Guinea,2015-04-08, Confirmed,3096,,1923
347,Guinea,2015-04-08, Suspected,14,,Not available
348,Guinea,2015-04-11, Confirmed,3112,,1928
349,Guinea,2015-04-11, Total,3541,,2342
350,Guinea,2015-04-11, Suspected,15,,Not available
351,Guinea,2015-04-11, Probable,414,,414
352,Guinea,2015-04-12, Total,3548,,2346
353,Guinea,2015-04-12, Suspected,17,,Not available
354,Guinea,2015-04-12, Probable,414,,414
355,Guinea,2015-04-12, Confirmed,3117,,1932
356,Guinea,2015-04-12, Suspected,17,Not reported.,Data not available.
357,Guinea,2015-04-12, Probable,414,Not reported.,414
358,Guinea,2015-04-12, Confirmed,3117,106,1932
359,Guinea,2015-04-12, Total,3548,106,2346
360,Guinea,2015-04-14, Confirmed,3124,,1934
361,Guinea,2015-04-14, Probable,414,,414
362,Guinea,2015-04-14, Suspected,28,,Not available
363,Guinea,2015-04-14, Total,3566,,2348
364,Guinea,2015-04-15, Confirmed,3126,,1937
365,Guinea,2015-04-15, Total,3569,,2351
366,Guinea,2015-04-15, Suspected,29,,Not available
367,Guinea,2015-04-15, Probable,414,,414
368,Guinea,2015-04-18, Probable,415,,415
369,Guinea,2015-04-18, Confirmed,3133,,1942
370,Guinea,2015-04-18, Total,3565,,2357
371,Guinea,2015-04-18, Suspected,17,,Not available
372,Guinea,2015-04-19, Suspected,14,Not reported.,Data not available.
373,Guinea,2015-04-19, Probable,415,Not reported.,415
374,Guinea,2015-04-19, Total,3565,70,2358
375,Guinea,2015-04-19, Confirmed,3136,70,1943
376,Guinea,2015-04-19, Total,3565,,2358
377,Guinea,2015-04-19, Suspected,14,,Not available
378,Guinea,2015-04-19, Probable,415,,415
379,Guinea,2015-04-19, Confirmed,3136,,1943
380,Guinea,2015-04-21, Total,3568,,2362
381,Guinea,2015-04-21, Suspected,9,,Not available
382,Guinea,2015-04-21, Probable,415,,415
383,Guinea,2015-04-21, Confirmed,3144,,1947
384,Guinea,2015-04-22, Confirmed,3145,,1950
385,Guinea,2015-04-22, Probable,415,,415
386,Guinea,2015-04-22, Suspected,16,,Not available
387,Guinea,2015-04-22, Total,3576,,2365
388,Guinea,2015-04-24, Confirmed,3154,,1959
389,Guinea,2015-04-24, Probable,415,,415
390,Guinea,2015-04-24, Total,3585,,2374
391,Guinea,2015-04-24, Suspected,16,,Not available
392,Guinea,2015-04-26, Probable,415,Not reported.,415
393,Guinea,2015-04-26, Confirmed,3158,69,1962
394,Guinea,2015-04-26, Total,3584,69,2377
395,Guinea,2015-04-26, Suspected,11,Not reported.,Data not available.
396,Guinea,2015-04-26, Total,3584,,2377
397,Guinea,2015-04-26, Confirmed,3158,,1962
398,Guinea,2015-04-26, Probable,415,,415
399,Guinea,2015-04-26, Suspected,11,,Not available
400,Guinea,2015-04-28, Total,3581,,2381
401,Guinea,2015-04-28, Suspected,7,,Not available
402,Guinea,2015-04-28, Probable,415,,415
403,Guinea,2015-04-28, Confirmed,3159,,1966
404,Guinea,2015-04-29, Probable,415,,415
405,Guinea,2015-04-29, Total,3578,,2383
406,Guinea,2015-04-29, Suspected,2,,Not available
407,Guinea,2015-04-29, Confirmed,3161,,1968
408,Guinea,2015-05-02, Confirmed,3163,,1970
409,Guinea,2015-05-02, Suspected,13,,Not available
410,Guinea,2015-05-02, Total,3591,,2385
411,Guinea,2015-05-02, Probable,415,,415
412,Guinea,2015-05-03, Suspected,7,Not reported.,Data not available.
413,Guinea,2015-05-03, Probable,415,Not reported.,415
414,Guinea,2015-05-03, Confirmed,3167,50,1971
415,Guinea,2015-05-03, Total,3589,,2386
416,Guinea,2015-05-03, Suspected,7,,Not available
417,Guinea,2015-05-03, Probable,415,,415
418,Guinea,2015-05-03, Confirmed,3167,,1971
419,Guinea,2015-05-03, Total,3589,50,2386
420,Guinea,2015-05-05, Suspected,7,,Not available
421,Guinea,2015-05-05, Probable,415,,415
422,Guinea,2015-05-05, Confirmed,3170,,1972
423,Guinea,2015-05-05, Total,3592,,2387
424,Guinea,2015-05-05, Total,3592,,2387
425,Guinea,2015-05-05, Suspected,7,,Not available
426,Guinea,2015-05-05, Confirmed,3170,,1972
427,Guinea,2015-05-05, Probable,415,,415
428,Guinea,2015-05-09, Total,3599,,2391
429,Guinea,2015-05-09, Suspected,11,,Not available
430,Guinea,2015-05-09, Confirmed,3173,,1976
431,Guinea,2015-05-09, Probable,415,,415
432,Guinea,2015-05-10, Total,3597,,2392
433,Guinea,2015-05-10, Suspected,8,,Not available
434,Guinea,2015-05-10, Probable,415,,415
435,Guinea,2015-05-10, Confirmed,3174,,1977
