,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
373,Sierra Leone,2015-04-19, Suspected,3405,,158
374,Sierra Leone,2015-04-19, Probable,287,Not reported.,208
375,Sierra Leone,2015-04-19, Confirmed,8575,30,3511
376,Sierra Leone,2015-04-19, Confirmed,8573,,3511
377,Sierra Leone,2015-04-19, Probable,287,,208
378,Sierra Leone,2015-04-19, Suspected,3405,Not reported.,158
379,Sierra Leone,2015-04-19, Total,12 267,30,3877
380,Sierra Leone,2015-04-21, Total,12 294,,3885
381,Sierra Leone,2015-04-21, Confirmed,8581,,3519
382,Sierra Leone,2015-04-21, Suspected,3426,,158
383,Sierra Leone,2015-04-21, Probable,287,,208
384,Sierra Leone,2015-04-22, Confirmed,8584,,3520
385,Sierra Leone,2015-04-22, Probable,287,,208
386,Sierra Leone,2015-04-22, Total,12 313,,3886
387,Sierra Leone,2015-04-22, Suspected,3442,,158
388,Sierra Leone,2015-04-25, Confirmed,8585,,3529
389,Sierra Leone,2015-04-25, Probable,287,,208
390,Sierra Leone,2015-04-25, Suspected,3490,,158
391,Sierra Leone,2015-04-25, Total,12 362,,3895
392,Sierra Leone,2015-04-26, Confirmed,8586,,3533
393,Sierra Leone,2015-04-26, Probable,287,,208
394,Sierra Leone,2015-04-26, Suspected,3498,,158
395,Sierra Leone,2015-04-26, Total,12 371,,3899
396,Sierra Leone,2015-04-26, Suspected,3498,Not reported.,158
397,Sierra Leone,2015-04-26, Total,12 371,32,3899
398,Sierra Leone,2015-04-26, Confirmed,8586,32,3533
399,Sierra Leone,2015-04-26, Probable,287,Not reported.,208
400,Sierra Leone,2015-04-28, Confirmed,8588,,3535
401,Sierra Leone,2015-04-28, Total,12 387,,3901
402,Sierra Leone,2015-04-28, Suspected,3512,,158
403,Sierra Leone,2015-04-28, Probable,287,,208
404,Sierra Leone,2015-04-29, Confirmed,8590,,3535
405,Sierra Leone,2015-04-29, Probable,287,,208
406,Sierra Leone,2015-04-29, Suspected,3521,,158
407,Sierra Leone,2015-04-29, Total,12 398,,3901
408,Sierra Leone,2015-05-02, Probable,287,,208
409,Sierra Leone,2015-05-02, Total,12 426,,3902
410,Sierra Leone,2015-05-02, Suspected,3547,,158
411,Sierra Leone,2015-05-02, Confirmed,8592,,3536
412,Sierra Leone,2015-05-03, Total,12 440,,3903
413,Sierra Leone,2015-05-03, Confirmed,8595,32,3537
414,Sierra Leone,2015-05-03, Probable,287,Not reported.,208
415,Sierra Leone,2015-05-03, Confirmed,8595,,3537
416,Sierra Leone,2015-05-03, Suspected,3558,Not reported.,158
417,Sierra Leone,2015-05-03, Total,12 440,32,3903
418,Sierra Leone,2015-05-03, Suspected,3558,,158
419,Sierra Leone,2015-05-03, Probable,287,,208
420,Sierra Leone,2015-05-05, Total,12 470,,3904
421,Sierra Leone,2015-05-05, Suspected,3586,,158
422,Sierra Leone,2015-05-05, Probable,287,,208
423,Sierra Leone,2015-05-05, Confirmed,8597,,3538
424,Sierra Leone,2015-05-06, Suspected,3608,,158
425,Sierra Leone,2015-05-06, Confirmed,8597,,3538
426,Sierra Leone,2015-05-06, Total,12 492,,3904
427,Sierra Leone,2015-05-06, Probable,287,,208
428,Sierra Leone,2015-05-09, Confirmed,8597,,3538
429,Sierra Leone,2015-05-09, Suspected,3635,,158
430,Sierra Leone,2015-05-09, Total,12 519,,3904
431,Sierra Leone,2015-05-09, Probable,287,,208
432,Sierra Leone,2015-05-10, Probable,287,,208
433,Sierra Leone,2015-05-10, Total,12 523,22,3904
434,Sierra Leone,2015-05-10, Confirmed,8597,,3538
435,Sierra Leone,2015-05-10, Suspected,3639,,158
436,Sierra Leone,2015-05-10, Total,12 523,,3904
437,Sierra Leone,2015-05-10, Suspected,3639,Not reported.,158
438,Sierra Leone,2015-05-10, Probable,287,Not reported.,208
439,Sierra Leone,2015-05-10, Confirmed,8597,22,3538
440,Sierra Leone,2015-05-12, Confirmed,8597,,3538
441,Sierra Leone,2015-05-12, Total,12 536,,3904
442,Sierra Leone,2015-05-12, Suspected,3652,,158
443,Sierra Leone,2015-05-12, Probable,287,,208
444,Sierra Leone,2015-05-13, Confirmed,8598,,3538
445,Sierra Leone,2015-05-13, Suspected,3655,,158
446,Sierra Leone,2015-05-13, Probable,287,,208
447,Sierra Leone,2015-05-13, Total,12 540,,3904
448,Sierra Leone,2015-05-16, Total,12 593,,3906
449,Sierra Leone,2015-05-16, Confirmed,8603,,3540
450,Sierra Leone,2015-05-16, Suspected,3703,,158
451,Sierra Leone,2015-05-16, Probable,287,,208
452,Sierra Leone,2015-05-17, Suspected,3740,Not reported.,158
453,Sierra Leone,2015-05-17, Confirmed,8605,,3541
454,Sierra Leone,2015-05-17, Probable,287,,208
455,Sierra Leone,2015-05-17, Suspected,3740,,158
456,Sierra Leone,2015-05-17, Confirmed,8605,19,3541
457,Sierra Leone,2015-05-17, Probable,287,Not reported.,208
458,Sierra Leone,2015-05-17, Total,12 632,,3907
459,Sierra Leone,2015-05-17, Total,12 632,19,3907
460,Sierra Leone,2015-05-19, Probable,287,,208
461,Sierra Leone,2015-05-19, Total,12 656,,3907
462,Sierra Leone,2015-05-19, Confirmed,8607,,3541
463,Sierra Leone,2015-05-19, Suspected,3762,,158
464,Sierra Leone,2015-05-20, Confirmed,8608,,3541
465,Sierra Leone,2015-05-20, Probable,287,,208
466,Sierra Leone,2015-05-20, Total,12 666,,3907
467,Sierra Leone,2015-05-20, Suspected,3771,,158
468,Sierra Leone,2015-05-23, Suspected,3801,,158
469,Sierra Leone,2015-05-23, Probable,287,,208
470,Sierra Leone,2015-05-23, Confirmed,8608,,3542
471,Sierra Leone,2015-05-23, Total,12 696,,3908
472,Sierra Leone,2015-05-24, Probable,287,,208
473,Sierra Leone,2015-05-24, Confirmed,8608,,3542
474,Sierra Leone,2015-05-24, Probable,287,Not reported.,208
475,Sierra Leone,2015-05-24, Suspected,3811,,158
476,Sierra Leone,2015-05-24, Total,12 706,,3908
477,Sierra Leone,2015-05-24, Confirmed,8608,13,3542
478,Sierra Leone,2015-05-24, Total,12 706,13,3908
479,Sierra Leone,2015-05-24, Suspected,3811,Not reported.,158
480,Sierra Leone,2015-05-26, Confirmed,8611,,3545
481,Sierra Leone,2015-05-26, Probable,287,,208
482,Sierra Leone,2015-05-26, Total,12 735,,3911
