Virus,Region,Sub-region,Date,Type,Case Number,Comments
Ebolavirus,Africa, Guinea,2015-05-26,Deaths,2423,
Ebolavirus,Africa, Guinea,2015-05-27,Confirmed,3644,
Ebolavirus,Africa, Guinea,2015-05-27,Deaths,2425,
Ebolavirus,Africa, Guinea,2015-05-30,Confirmed,3653,
Ebolavirus,Africa, Guinea,2015-05-30,Deaths,2428,
Ebolavirus,Africa, Guinea,2015-05-31,Confirmed,3652,
Ebolavirus,Africa, Guinea,2015-05-31,Deaths,2429,
Ebolavirus,Africa, Guinea,2015-06-04,Confirmed,3657,
Ebolavirus,Africa, Guinea,2015-06-04,Deaths,2431,
Ebolavirus,Africa, Guinea,2015-06-05,Confirmed,3664,
Ebolavirus,Africa, Guinea,2015-06-05,Deaths,2431,
Ebolavirus,Africa, Guinea,2015-06-06,Confirmed,3669,
Ebolavirus,Africa, Guinea,2015-06-06,Deaths,2435,
Ebolavirus,Africa, Guinea,2015-06-07,Confirmed,3670,
Ebolavirus,Africa, Guinea,2015-06-07,Deaths,2437,
Ebolavirus,Africa, Guinea,2015-06-09,Confirmed,3674,
Ebolavirus,Africa, Guinea,2015-06-09,Deaths,2440,
Ebolavirus,Africa, Guinea,2015-06-10,Confirmed,3677,
Ebolavirus,Africa, Guinea,2015-06-10,Deaths,2440,
Ebolavirus,Africa, Guinea,2015-06-13,Confirmed,3677,
Ebolavirus,Africa, Guinea,2015-06-13,Deaths,2443,
Ebolavirus,Africa, Guinea,2015-06-14,Confirmed,3678,
Ebolavirus,Africa, Guinea,2015-06-14,Deaths,2444,
Ebolavirus,Africa, Guinea,2015-06-16,Confirmed,3675,
Ebolavirus,Africa, Guinea,2015-06-16,Deaths,2445,
Ebolavirus,Africa, Guinea,2015-06-17,Confirmed,3674,
Ebolavirus,Africa, Guinea,2015-06-17,Deaths,2446,
Ebolavirus,Africa, Guinea,2015-06-21,Confirmed,3718,
Ebolavirus,Africa, Guinea,2015-06-21,Deaths,2473,
Ebolavirus,Africa, Guinea,2015-06-23,Confirmed,3718,
Ebolavirus,Africa, Guinea,2015-06-23,Deaths,2480,
Ebolavirus,Africa, Guinea,2015-06-24,Confirmed,3720,
Ebolavirus,Africa, Guinea,2015-06-24,Deaths,2480,
Ebolavirus,Africa, Guinea,2015-06-29,Confirmed,3724,
Ebolavirus,Africa, Guinea,2015-06-29,Deaths,2482,
Ebolavirus,Africa, Guinea,2015-06-30,Confirmed,3745,
Ebolavirus,Africa, Guinea,2015-06-30,Confirmed,3729,
Ebolavirus,Africa, Guinea,2015-06-30,Deaths,2490,
Ebolavirus,Africa, Guinea,2015-06-30,Deaths,2482,
Ebolavirus,Africa, Guinea,2015-07-03,Confirmed,3750,
Ebolavirus,Africa, Guinea,2015-07-03,Deaths,2492,
Ebolavirus,Africa, Guinea,2015-07-04,Confirmed,3744,
Ebolavirus,Africa, Guinea,2015-07-04,Deaths,2492,
Ebolavirus,Africa, Guinea,2015-07-05,Confirmed,3748,
Ebolavirus,Africa, Guinea,2015-07-05,Deaths,2499,
Ebolavirus,Africa, Guinea,2015-07-08,Confirmed,3748,
Ebolavirus,Africa, Guinea,2015-07-08,Deaths,2499,
Ebolavirus,Africa, Guinea,2015-07-09,Confirmed,3744,
Ebolavirus,Africa, Guinea,2015-07-09,Deaths,2505,
Ebolavirus,Africa, Guinea,2015-07-10,Confirmed,3751,
Ebolavirus,Africa, Guinea,2015-07-10,Deaths,2505,
Ebolavirus,Africa, Guinea,2015-07-13,Confirmed,3754,
Ebolavirus,Africa, Guinea,2015-07-13,Deaths,2506,
Ebolavirus,Africa, Guinea,2015-07-14,Confirmed,3760,
Ebolavirus,Africa, Guinea,2015-07-14,Deaths,2506,
Ebolavirus,Africa, Guinea,2015-07-15,Confirmed,3760,
Ebolavirus,Africa, Guinea,2015-07-15,Deaths,2506,
Ebolavirus,Africa, Guinea,2015-07-16,Confirmed,3762,
Ebolavirus,Africa, Guinea,2015-07-16,Deaths,2506,
Ebolavirus,Africa, Guinea,2015-07-17,Confirmed,3770,
Ebolavirus,Africa, Guinea,2015-07-17,Deaths,2509,
Ebolavirus,Africa, Guinea,2015-07-20,Confirmed,3784,
Ebolavirus,Africa, Guinea,2015-07-20,Deaths,2511,
Ebolavirus,Africa, Guinea,2015-07-21,Confirmed,3783,
Ebolavirus,Africa, Guinea,2015-07-21,Deaths,2512,
Ebolavirus,Africa, Guinea,2015-07-22,Confirmed,3783,
Ebolavirus,Africa, Guinea,2015-07-22,Deaths,2512,
Ebolavirus,Africa, Guinea,2015-07-23,Confirmed,3788,
Ebolavirus,Africa, Guinea,2015-07-23,Deaths,2516,
Ebolavirus,Africa, Guinea,2015-07-24,Confirmed,3787,
Ebolavirus,Africa, Guinea,2015-07-24,Deaths,2517,
Ebolavirus,Africa, Guinea,2015-07-27,Confirmed,3792,
Ebolavirus,Africa, Guinea,2015-07-27,Deaths,2519,
Ebolavirus,Africa, Guinea,2015-07-28,Confirmed,3786,
Ebolavirus,Africa, Guinea,2015-07-28,Deaths,2520,
Ebolavirus,Africa, Guinea,2015-07-29,Confirmed,3786,
Ebolavirus,Africa, Guinea,2015-07-29,Deaths,2520,
Ebolavirus,Africa, Guinea,2015-07-30,Confirmed,3785,
Ebolavirus,Africa, Guinea,2015-07-30,Deaths,2521,
Ebolavirus,Africa, Guinea,2015-07-31,Confirmed,3781,
Ebolavirus,Africa, Guinea,2015-07-31,Deaths,2521,
Ebolavirus,Africa, Guinea,2015-08-03,Confirmed,3786,
Ebolavirus,Africa, Guinea,2015-08-03,Deaths,2522,
Ebolavirus,Africa, Guinea,2015-08-04,Confirmed,3784,
Ebolavirus,Africa, Guinea,2015-08-04,Deaths,2522,
Ebolavirus,Africa, Guinea,2015-08-05,Confirmed,3784,
Ebolavirus,Africa, Guinea,2015-08-05,Deaths,2522,
