Microbe Family,Microbe Genus,Microbe Species,Region,Country,State/City,date,type,number
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-03-04,CumCases,11466
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-03-11,CumCases,11619
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-03-18,CumCases,11751
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-03-25,CumCases,11841
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-03-26,CumCases,11866
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-03-27,CumCases,11889
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-03-30,CumCases,11943
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-03-31,CumCases,11974
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-04-01,CumCases,11974
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-04-02,CumCases,12022
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-04-07,CumCases,12139
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-04-08,CumCases,12138
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-04-09,CumCases,12155
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-04-10,CumCases,12170
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,AFRO, Sierra Leone,None,2015-04-13,CumCases,12188
