Date,Case Number
2022/10/18,807.0
2022/10/19,814.0
2022/10/20,790.0
2022/10/21,819.0
2022/10/22,776.0
2022/10/23,754.0
2022/10/24,727.0
2022/10/25,731.0
2022/10/26,718.0
2022/10/27,703.0
2022/10/28,689.0
2022/10/29,668.0
2022/10/30,647.0
2022/10/31,613.0
2022/11/01,592.0
2022/11/02,594.0
2022/11/03,587.0
2022/11/04,578.0
2022/11/05,546.0
2022/11/06,559.0
2022/11/07,561.0
2022/11/08,581.0
2022/11/09,564.0
2022/11/10,546.0
2022/11/11,537.0
2022/11/12,518.0
2022/11/13,521.0
2022/11/14,548.0
2022/11/15,530.0
2022/11/16,547.0
2022/11/17,531.0
2022/11/18,517.0
2022/11/19,495.0
2022/11/20,493.0
2022/11/21,527.0
2022/11/22,512.0
2022/11/23,499.0
2022/11/24,504.0
2022/11/25,524.0
2022/11/26,525.0
2022/11/27,559.0
2022/11/28,597.0
2022/11/29,609.0
2022/11/30,634.0
2022/12/01,657.0
2022/12/02,670.0
2022/12/03,665.0
2022/12/04,686.0
2022/12/05,706.0
2022/12/06,754.0
2022/12/07,756.0
2022/12/08,752.0
2022/12/09,735.0
2022/12/10,704.0
2022/12/11,737.0
2022/12/12,794.0
2022/12/13,802.0
2022/12/14,812.0
2022/12/15,818.0
2022/12/16,812.0
2022/12/17,804.0
2022/12/18,811.0
2022/12/19,822.0
2022/12/20,824.0
2022/12/21,839.0
2022/12/22,839.0
2022/12/23,843.0
2022/12/24,895.0
2022/12/25,896.0
2022/12/26,965.0
2022/12/27,1061.0
2022/12/28,1090.0
2022/12/29,1098.0
2022/12/30,1127.0
2022/12/31,1106.0
2023/01/01,1165.0
2023/01/02,1181.0
2023/01/03,1231.0
2023/01/04,1220.0
2023/01/05,1220.0
2023/01/06,1194.0
2023/01/07,1144.0
2023/01/08,1190.0
2023/01/09,1189.0
2023/01/10,1168.0
2023/01/11,1108.0
2023/01/12,1055.0
2023/01/13,993.0
2023/01/14,1026.0
2023/01/15,996.0
2023/01/16,996.0
2023/01/17,973.0
2023/01/18,950.0
2023/01/19,986.0
2023/01/20,862.0
2023/01/21,828.0
2023/01/22,810.0
2023/01/23,798.0
2023/01/24,780.0
2023/01/25,759.0
2023/01/26,697.0
2023/01/27,692.0
2023/01/28,695.0
2023/01/29,706.0
2023/01/30,711.0
2023/01/31,686.0
2023/02/01,655.0
2023/02/02,627.0
2023/02/03,595.0
2023/02/04,615.0
2023/02/05,610.0
2023/02/06,641.0
2023/02/07,634.0
2023/02/08,627.0
2023/02/09,598.0
2023/02/10,578.0
2023/02/11,559.0
2023/02/12,556.0
2023/02/13,550.0
2023/02/14,567.0
2023/02/15,576.0
2023/02/16,574.0
2023/02/17,568.0
2023/02/18,528.0
2023/02/19,533.0
2023/02/20,539.0
2023/02/21,561.0
2023/02/22,545.0
2023/02/23,523.0
2023/02/24,531.0
2023/02/25,512.0
