Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-29,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-29,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-29,Cases,59,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-29,Cases,58,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-31,Cases,44,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-31,Cases,806,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-31,Cases,530,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-31,Cases,10,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-03-31,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-31,Cases,5,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-03-31,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-31,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Romania,2003-03-31,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-31,Cases,91,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-31,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-31,Cases,5,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-31,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-31,Cases,59,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-31,Cases,58,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Oceania,Australia,2003-04-01,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Belgium,2003-04-01,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-04-01,Cases,53,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-04-01,Cases,806,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-04-01,Cases,685,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-04-01,Cases,13,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-04-01,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-04-01,Cases,5,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-04-01,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-04-01,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Romania,2003-04-01,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-04-01,Cases,92,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-04-01,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-04-01,Cases,6,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-04-01,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-04-01,Cases,69,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-04-01,Cases,58,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Oceania,Australia,2003-04-02,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Belgium,2003-04-02,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-04-02,Cases,58,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-04-02,Cases,1190,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-04-02,Cases,708,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-04-02,Cases,13,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-04-02,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-04-02,Cases,5,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-04-02,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-04-02,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Romania,2003-04-02,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-04-02,Cases,95,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Spain,2003-04-02,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-04-02,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-04-02,Cases,7,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-04-02,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-04-02,Cases,72,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-04-02,Cases,58,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Oceania,Australia,2003-04-03,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Belgium,2003-04-03,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,South America,Brazil,2003-04-03,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-04-03,Cases,62,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-04-03,Cases,1190,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-04-03,Cases,734,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-04-03,Cases,14,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-04-03,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-04-03,Cases,5,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-04-03,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-04-03,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Romania,2003-04-03,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-04-03,Cases,98,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-04-03,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-04-03,Cases,7,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-04-03,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-04-03,Cases,85,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-04-03,Cases,59,
