Microbe Family,Microbe Genus,Microbe Species,Region,Country,State/City,date,type,number
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-28,Cumulative_Cases,425
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-28,Cumulative_Cases,10
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,2003-03-28,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-28,Cumulative_Cases,4
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,2003-03-28,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,2003-03-28,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Romania,None,2003-03-28,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-28,Cumulative_Cases,86
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-28,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-28,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-28,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-28,Cumulative_Cases,51
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-28,Cumulative_Cases,58
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-29,Cumulative_Cases,37
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-29,Cumulative_Cases,806
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-29,Cumulative_Cases,470
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-29,Cumulative_Cases,10
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,2003-03-29,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-29,Cumulative_Cases,4
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,2003-03-29,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,2003-03-29,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Romania,None,2003-03-29,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-29,Cumulative_Cases,89
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-29,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-29,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-29,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-29,Cumulative_Cases,59
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-29,Cumulative_Cases,58
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-31,Cumulative_Cases,44
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-31,Cumulative_Cases,806
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-31,Cumulative_Cases,530
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-31,Cumulative_Cases,10
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,France,None,2003-03-31,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-31,Cumulative_Cases,5
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Italy,None,2003-03-31,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Republic of Ireland,None,2003-03-31,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Romania,None,2003-03-31,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-31,Cumulative_Cases,91
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-31,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-31,Cumulative_Cases,5
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-31,Cumulative_Cases,3
