,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
511,Liberia,2015-05-09, Total,10 666,,4806
512,Liberia,2015-05-09, Confirmed,3151,,Not available
513,Liberia,2015-05-09, Suspected,5636,,Not available
514,Liberia,2015-05-09, Probable,1879,-,Data not available.
515,Liberia,2015-05-09, Probable,1879,,Not available
516,Liberia,2015-05-09, Confirmed,3151,,Not available
517,Liberia,2015-05-09, Suspected,5636,-,Data not available.
518,Liberia,2015-05-09, Total,10 666,-,4806
519,Liberia,2015-05-09, Confirmed,3151,,Not available
520,Liberia,2015-05-09, Total,10 666,,4806
521,Liberia,2015-05-09, Suspected,5636,,Not available
522,Liberia,2015-05-09, Total,10 666,-,4806
523,Liberia,2015-05-09, Suspected,5636,-,Data not available.
524,Liberia,2015-05-09, Probable,1879,,Not available
525,Liberia,2015-05-09, Total,10 666,,4806
526,Liberia,2015-05-09, Total,10 666,-,4806
527,Liberia,2015-05-09, Probable,1879,Not reported.,Data not available.
528,Liberia,2015-05-09, Confirmed,3151,,Not available
529,Liberia,2015-05-09, Probable,1879,,Not available
530,Liberia,2015-05-09, Confirmed,3151,,Not available
531,Liberia,2015-05-09, Probable,1879,,Not available
532,Liberia,2015-05-09, Suspected,5636,,Not available
533,Liberia,2015-05-09, Total,10 666,,4806
534,Liberia,2015-05-09, Suspected,5636,-,Data not available.
535,Liberia,2015-05-09, Suspected,5636,,Not available
536,Liberia,2015-05-09, Total,10 666,,4806
537,Liberia,2015-05-09, Probable,1879,,Not available
538,Liberia,2015-05-09, Probable,1879,-,Data not available.
539,Liberia,2015-05-09, Probable,1879,,Not available
540,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
541,Liberia,2015-05-09, Probable,1879,,Not available
542,Liberia,2015-05-09, Suspected,5636,,Not available
543,Liberia,2015-05-09, Total,10 666,,4806
544,Liberia,2015-05-09, Confirmed,3151,,Not available
545,Liberia,2015-05-09, Probable,1879,,Not available
546,Liberia,2015-05-09, Suspected,5636,,Not available
547,Liberia,2015-05-09, Total,10 666,,4806
548,Liberia,2015-05-09, Confirmed,3151,,Not available
549,Liberia,2015-05-09, Probable,1879,,Not available
550,Liberia,2015-05-09, Suspected,5636,,Not available
551,Liberia,2015-05-09, Total,10 666,,4806
552,Liberia,2015-05-09, Confirmed,3151,,Not available
553,Liberia,2015-05-09, Probable,1879,,Not available
554,Liberia,2015-05-09, Probable,1879,,Not available
555,Liberia,2015-05-09, Total,10 666,,4806
556,Liberia,2015-05-09, Confirmed,3151,,Not available
557,Liberia,2015-05-09, Probable,1879,,Not available
558,Liberia,2015-05-09, Suspected,5636,,Not available
559,Liberia,2015-05-09, Total,10 666,,4806
560,Liberia,2015-05-09, Total,10 666,,4806
561,Liberia,2015-05-09, Suspected,5636,,Not available
562,Liberia,2015-05-09, Probable,1879,,Not available
563,Liberia,2015-05-09, Confirmed,3151,,Not available
564,Liberia,2015-05-09, Confirmed,3151,,Not available
565,Liberia,2015-05-09, Probable,1879,,Not available
566,Liberia,2015-05-09, Suspected,5636,,Not available
567,Liberia,2015-05-09, Suspected,5636,,Not available
568,Liberia,2015-05-09, Confirmed,3151,,Not available
569,Liberia,2015-05-09, Probable,1879,,Not available
570,Liberia,2015-05-09, Suspected,5636,,Not available
571,Liberia,2015-05-09, Total,10 666,,4806
572,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
573,Liberia,2015-05-09, Probable,1879,-,Data not available.
574,Liberia,2015-05-09, Suspected,5636,-,Data not available.
575,Liberia,2015-05-09, Total,10 666,-,4806
576,Liberia,2015-05-09, Total,10 666,,4806
577,Liberia,2015-05-09, Suspected,5636,,Not available
578,Liberia,2015-05-09, Probable,1879,,Not available
579,Liberia,2015-05-09, Confirmed,3151,,Not available
580,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
581,Liberia,2015-05-09, Confirmed,3151,,Not available
582,Liberia,2015-05-09, Probable,1879,-,Data not available.
583,Liberia,2015-05-09, Total,10 666,-,4806
584,Liberia,2015-05-09, Confirmed,3151,,Not available
585,Liberia,2015-05-09, Probable,1879,,Not available
586,Liberia,2015-05-09, Suspected,5636,,Not available
587,Liberia,2015-05-09, Total,10 666,,4806
588,Liberia,2015-05-09, Confirmed,3151,,Not available
589,Liberia,2015-05-09, Probable,1879,,Not available
590,Liberia,2015-05-09, Suspected,5636,,Not available
591,Liberia,2015-05-09, Total,10 666,,4806
592,Liberia,2015-05-09, Total,10 666,,4806
593,Liberia,2015-05-09, Suspected,5636,,Not available
594,Liberia,2015-05-09, Suspected,5636,-,Data not available.
595,Liberia,2015-05-09, Probable,1879,,Not available
596,Liberia,2015-05-09, Total,10 666,,4806
597,Liberia,2015-05-09, Probable,1879,,Not available
598,Liberia,2015-05-09, Suspected,5636,,Not available
599,Liberia,2015-05-09, Total,10 666,,4806
600,Liberia,2015-05-09, Confirmed,3151,,Not available
601,Liberia,2015-05-09, Probable,1879,,Not available
602,Liberia,2015-05-09, Suspected,5636,,Not available
603,Liberia,2015-05-09, Total,10 666,,4806
604,Liberia,2015-05-09, Total,10 666,-,4806
605,Liberia,2015-05-09, Suspected,5636,-,Data not available.
606,Liberia,2015-05-09, Probable,1879,-,Data not available.
607,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
608,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
609,Liberia,2015-05-09, Probable,1879,,Not available
610,Liberia,2015-05-09, Probable,1879,-,Data not available.
611,Liberia,2015-05-09, Total,10 666,-,4806
612,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
613,Liberia,2015-05-09, Probable,1879,-,Data not available.
614,Liberia,2015-05-09, Suspected,5636,-,Data not available.
615,Liberia,2015-05-09, Total,10 666,-,4806
616,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
617,Liberia,2015-05-09, Probable,1879,-,Data not available.
618,Liberia,2015-05-09, Suspected,5636,-,Data not available.
619,Liberia,2015-05-09, Total,10 666,-,4806
620,Liberia,2015-05-09, Confirmed,3151,,Not available
621,Liberia,2015-05-09, Probable,1879,,Not available
622,Liberia,2015-05-09, Suspected,5636,-,Data not available.
623,Liberia,2015-05-09, Confirmed,3151,,Not available
624,Liberia,2015-05-09, Confirmed,3151,,Not available
625,Liberia,2015-05-09, Suspected,5636,,Not available
626,Liberia,2015-05-09, Suspected,5636,,Not available
627,Liberia,2015-05-09, Total,10 666,,4806
628,Liberia,2015-05-09, Confirmed,3151,,Not available
629,Liberia,2015-05-09, Probable,1879,,Not available
630,Liberia,2015-05-09, Suspected,5636,,Not available
631,Liberia,2015-05-09, Total,10 666,,4806
632,Liberia,2015-05-09, Confirmed,3151,,Not available
633,Liberia,2015-05-09, Probable,1879,,Not available
634,Liberia,2015-05-09, Suspected,5636,,Not available
635,Liberia,2015-05-09, Total,10 666,,4806
636,Liberia,2015-05-09, Confirmed,3151,,Not available
637,Liberia,2015-05-09, Total,10 666,,4806
638,Liberia,2015-05-09, Probable,1879,,Not available
639,Liberia,2015-05-09, Total,10 666,,4806
640,Liberia,2015-05-09, Total,10 666,,4806
641,Liberia,2015-05-09, Suspected,5636,,Not available
642,Liberia,2015-05-09, Probable,1879,,Not available
643,Liberia,2015-05-09, Confirmed,3151,,Not available
644,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
645,Liberia,2015-05-09, Probable,1879,-,Data not available.
646,Liberia,2015-05-09, Suspected,5636,-,Data not available.
647,Liberia,2015-05-09, Total,10 666,-,4806
648,Liberia,2015-05-09, Confirmed,3151,,Not available
649,Liberia,2015-05-09, Probable,1879,,Not available
650,Liberia,2015-05-09, Suspected,5636,,Not available
651,Liberia,2015-05-09, Confirmed,3151,,Not available
652,Liberia,2015-05-09, Confirmed,3151,,Not available
653,Liberia,2015-05-09, Suspected,5636,,Not available
654,Liberia,2015-05-09, Suspected,5636,,Not available
655,Liberia,2015-05-09, Total,10 666,,4806
656,Liberia,2015-05-09, Total,10 666,-,4806
657,Liberia,2015-05-09, Suspected,5636,-,Data not available.
658,Liberia,2015-05-09, Probable,1879,-,Data not available.
659,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
660,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
661,Liberia,2015-05-09, Probable,1879,-,Data not available.
662,Liberia,2015-05-09, Suspected,5636,-,Data not available.
663,Liberia,2015-05-09, Total,10 666,-,4806
664,Liberia,2015-05-09, Total,10 666,,4806
665,Liberia,2015-05-09, Probable,1879,,Not available
666,Liberia,2015-05-09, Suspected,5636,,Not available
667,Liberia,2015-05-09, Confirmed,3151,,Not available
668,Liberia,2015-05-09, Confirmed,3151,,Not available
669,Liberia,2015-05-09, Probable,1879,,Not available
670,Liberia,2015-05-09, Suspected,5636,,Not available
671,Liberia,2015-05-09, Total,10 666,,4806
672,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
673,Liberia,2015-05-09, Probable,1879,-,Data not available.
674,Liberia,2015-05-09, Suspected,5636,-,Data not available.
675,Liberia,2015-05-09, Total,10 666,-,4806
676,Liberia,2015-05-09, Confirmed,3151,,Not available
677,Liberia,2015-05-09, Probable,1879,,Not available
678,Liberia,2015-05-09, Probable,1879,,Not available
679,Liberia,2015-05-09, Suspected,5636,,Not available
680,Liberia,2015-05-09, Confirmed,3151,,Not available
681,Liberia,2015-05-09, Probable,1879,,Not available
682,Liberia,2015-05-09, Suspected,5636,,Not available
683,Liberia,2015-05-09, Total,10 666,,4806
684,Liberia,2015-05-09, Total,10 666,,4806
685,Liberia,2015-05-09, Suspected,5636,,Not available
686,Liberia,2015-05-09, Probable,1879,,Not available
687,Liberia,2015-05-09, Confirmed,3151,,Not available
688,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
689,Liberia,2015-05-09, Probable,1879,-,Data not available.
690,Liberia,2015-05-09, Suspected,5636,-,Data not available.
691,Liberia,2015-05-09, Total,10 666,-,4806
692,Liberia,2015-05-09, Confirmed,3151,,Not available
693,Liberia,2015-05-09, Confirmed,3151,,Not available
694,Liberia,2015-05-09, Probable,1879,,Not available
695,Liberia,2015-05-09, Total,10 666,,4806
696,Liberia,2015-05-09, Total,10 666,-,4806
697,Liberia,2015-05-09, Suspected,5636,-,Data not available.
698,Liberia,2015-05-09, Probable,1879,-,Data not available.
699,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
700,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
701,Liberia,2015-05-09, Probable,1879,-,Data not available.
702,Liberia,2015-05-09, Suspected,5636,-,Data not available.
703,Liberia,2015-05-09, Total,10 666,-,4806
704,Liberia,2015-05-09, Total,10 666,,4806
705,Liberia,2015-05-09, Suspected,5636,,Not available
706,Liberia,2015-05-09, Suspected,5636,,Not available
707,Liberia,2015-05-09, Total,10 666,,4806
708,Liberia,2015-05-09, Total,10 666,,4806
709,Liberia,2015-05-09, Probable,1879,,Not available
710,Liberia,2015-05-09, Suspected,5636,,Not available
711,Liberia,2015-05-09, Total,10 666,,4806
712,Liberia,2015-05-09, Confirmed,3151,,Not available
713,Liberia,2015-05-09, Probable,1879,,Not available
714,Liberia,2015-05-09, Suspected,5636,,Not available
715,Liberia,2015-05-09, Total,10 666,,4806
716,Liberia,2015-05-09, Confirmed,3151,0,Data not available.
717,Liberia,2015-05-09, Probable,1879,Not reported.,Data not available.
718,Liberia,2015-05-09, Suspected,5636,Not reported.,Data not available.
719,Liberia,2015-05-09, Total,10 666,0,4806
720,Liberia,2015-05-09, Total,10 666,,4806
721,Liberia,2015-05-09, Probable,1879,,Not available
722,Liberia,2015-05-09, Suspected,5636,,Not available
723,Liberia,2015-05-09, Confirmed,3151,,Not available
724,Liberia,2015-05-09, Confirmed,3151,,Not available
725,Liberia,2015-05-09, Probable,1879,,Not available
726,Liberia,2015-05-09, Suspected,5636,,Not available
727,Liberia,2015-05-09, Total,10 666,,4806
728,Liberia,2015-05-09, Total,10 666,,4806
729,Liberia,2015-05-09, Suspected,5636,,Not available
730,Liberia,2015-05-09, Probable,1879,,Not available
731,Liberia,2015-05-09, Confirmed,3151,,Not available
732,Liberia,2015-05-09, Confirmed,3151,,Not available
733,Liberia,2015-05-09, Probable,1879,,Not available
734,Liberia,2015-05-09, Probable,1879,,Not available
735,Liberia,2015-05-09, Confirmed,3151,,Not available
736,Liberia,2015-05-09, Confirmed,3151,,Not available
737,Liberia,2015-05-09, Suspected,5636,,Not available
738,Liberia,2015-05-09, Suspected,5636,,Not available
739,Liberia,2015-05-09, Total,10 666,,4806
740,Liberia,2015-05-09, Suspected,5636,-,Data not available.
741,Liberia,2015-05-09, Probable,1879,-,Data not available.
742,Liberia,2015-05-09, Suspected,5636,-,Data not available.
743,Liberia,2015-05-09, Total,10 666,-,4806
744,Liberia,2015-05-09, Confirmed,3151,,Not available
745,Liberia,2015-05-09, Probable,1879,,Not available
746,Liberia,2015-05-09, Suspected,5636,,Not available
747,Liberia,2015-05-09, Total,10 666,,4806
748,Liberia,2015-05-09, Total,10 666,,4806
749,Liberia,2015-05-09, Total,10 666,,4806
750,Liberia,2015-05-09, Suspected,5636,,Not available
751,Liberia,2015-05-09, Confirmed,3151,,Not available
752,Liberia,2015-05-09, Confirmed,3151,,Not available
753,Liberia,2015-05-09, Probable,1879,,Not available
754,Liberia,2015-05-09, Suspected,5636,,Not available
755,Liberia,2015-05-09, Total,10 666,,4806
756,Liberia,2015-05-09, Total,10 666,,4806
757,Liberia,2015-05-09, Suspected,5636,,Not available
758,Liberia,2015-05-09, Probable,1879,,Not available
759,Liberia,2015-05-09, Confirmed,3151,,Not available
760,Liberia,2015-05-09, Confirmed,3151,,Not available
761,Liberia,2015-05-09, Probable,1879,,Not available
762,Liberia,2015-05-09, Probable,1879,,Not available
763,Liberia,2015-05-09, Probable,1879,-,Data not available.
764,Liberia,2015-05-09, Probable,1879,,Not available
765,Liberia,2015-05-09, Total,10 666,0,4806
766,Liberia,2015-05-09, Suspected,5636,,Not available
767,Liberia,2015-05-09, Total,10 666,,4806
768,Liberia,2015-05-09, Suspected,5636,,Not available
769,Liberia,2015-05-09, Probable,1879,,Not available
770,Liberia,2015-05-09, Confirmed,3151,,Not available
771,Liberia,2015-05-09, Total,10 666,,4806
772,Liberia,2015-05-09, Confirmed,3151,,Not available
773,Liberia,2015-05-09, Probable,1879,,Not available
774,Liberia,2015-05-09, Suspected,5636,,Not available
775,Liberia,2015-05-09, Total,10 666,,4806
776,Liberia,2015-05-09, Confirmed,3151,,Not available
777,Liberia,2015-05-09, Probable,1879,,Not available
778,Liberia,2015-05-09, Probable,1879,,Not available
779,Liberia,2015-05-09, Suspected,5636,,Not available
780,Liberia,2015-05-09, Confirmed,3151,,Not available
781,Liberia,2015-05-09, Probable,1879,,Not available
782,Liberia,2015-05-09, Suspected,5636,,Not available
783,Liberia,2015-05-09, Total,10 666,,4806
784,Liberia,2015-05-09, Suspected,5636,,Not available
785,Liberia,2015-05-09, Probable,1879,,Not available
786,Liberia,2015-05-09, Confirmed,3151,,Not available
787,Liberia,2015-05-09, Total,10 666,,4806
788,Liberia,2015-05-09, Confirmed,3151,,Not available
789,Liberia,2015-05-09, Probable,1879,,Not available
790,Liberia,2015-05-09, Suspected,5636,,Not available
791,Liberia,2015-05-09, Total,10 666,,4806
792,Liberia,2015-05-09, Total,10 666,,4806
793,Liberia,2015-05-09, Confirmed,3151,,Not available
794,Liberia,2015-05-09, Confirmed,3151,,Not available
795,Liberia,2015-05-09, Suspected,5636,,Not available
796,Liberia,2015-05-09, Confirmed,3151,,Not available
797,Liberia,2015-05-09, Probable,1879,,Not available
798,Liberia,2015-05-09, Suspected,5636,,Not available
799,Liberia,2015-05-09, Total,10 666,,4806
800,Liberia,2015-05-09, Confirmed,3151,,Not available
801,Liberia,2015-05-09, Probable,1879,,Not available
802,Liberia,2015-05-09, Suspected,5636,,Not available
803,Liberia,2015-05-09, Total,10 666,,4806
804,Liberia,2015-05-09, Confirmed,3151,,Not available
805,Liberia,2015-05-09, Probable,1879,,Not available
806,Liberia,2015-05-09, Suspected,5636,,Not available
807,Liberia,2015-05-09, Total,10 666,,4806
808,Liberia,2015-05-09, Total,10 666,,4806
809,Liberia,2015-05-09, Suspected,5636,,Not available
810,Liberia,2015-05-09, Confirmed,3151,,Not available
811,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
812,Liberia,2015-05-09, Probable,1879,-,Data not available.
813,Liberia,2015-05-09, Suspected,5636,-,Data not available.
814,Liberia,2015-05-09, Total,10 666,-,4806
815,Liberia,2015-05-09, Confirmed,3151, ,Data not available.
816,Liberia,2015-05-09, Probable,1879, ,Data not available.
817,Liberia,2015-05-09, Suspected,5636, ,Data not available.
818,Liberia,2015-05-09, Total,10 666, ,4806
819,Liberia,2015-05-09, Total,10 666,,4806
820,Liberia,2015-05-09, Confirmed,3151,,Not available
821,Liberia,2015-05-09, Probable,1879,,Not available
822,Liberia,2015-05-09, Probable,1879,,Not available
823,Liberia,2015-05-09, Total,10 666,,4806
824,Liberia,2015-05-09, Probable,1879,,Not available
825,Liberia,2015-05-09, Total,10 666,,4806
826,Liberia,2015-05-09, Total,10 666,,4806
827,Liberia,2015-05-09, Total,10 666,,4806
828,Liberia,2015-05-09, Confirmed,3151,,Not available
829,Liberia,2015-05-09, Probable,1879,,Not available
830,Liberia,2015-05-09, Suspected,5636,,Not available
831,Liberia,2015-05-09, Total,10 666,,4806
832,Liberia,2015-05-09, Confirmed,3151,,Not available
833,Liberia,2015-05-09, Probable,1879,,Not available
834,Liberia,2015-05-09, Suspected,5636,,Not available
835,Liberia,2015-05-09, Total,10 666,,4806
836,Liberia,2015-05-09, Suspected,5636,,Not available
837,Liberia,2015-05-09, Probable,1879,,Not available
838,Liberia,2015-05-09, Suspected,5636,,Not available
839,Liberia,2015-05-09, Confirmed,3151,,Not available
840,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
841,Liberia,2015-05-09, Probable,1879,-,Data not available.
842,Liberia,2015-05-09, Suspected,5636,-,Data not available.
843,Liberia,2015-05-09, Total,10 666,-,4806
844,Liberia,2015-05-09, Confirmed,3151,,Not available
845,Liberia,2015-05-09, Probable,1879,,Not available
846,Liberia,2015-05-09, Suspected,5636,,Not available
847,Liberia,2015-05-09, Total,10 666,,4806
848,Liberia,2015-05-09, Suspected,5636,-,Data not available.
849,Liberia,2015-05-09, Probable,1879,-,Data not available.
850,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
851,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
852,Liberia,2015-05-09, Total,10 666,-,4806
853,Liberia,2015-05-09, Suspected,5636,,Not available
854,Liberia,2015-05-09, Probable,1879,,Not available
855,Liberia,2015-05-09, Total,10 666,,4806
856,Liberia,2015-05-09, Suspected,5636,,Not available
857,Liberia,2015-05-09, Probable,1879,,Not available
858,Liberia,2015-05-09, Confirmed,3151,,Not available
859,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
860,Liberia,2015-05-09, Probable,1879,-,Data not available.
861,Liberia,2015-05-09, Suspected,5636,-,Data not available.
862,Liberia,2015-05-09, Total,10 666,-,4806
863,Liberia,2015-05-09, Confirmed,3151,,Not available
864,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
865,Liberia,2015-05-09, Suspected,5636,,Not available
866,Liberia,2015-05-09, Total,10 666,,4806
867,Liberia,2015-05-09, Confirmed,3151,,Not available
868,Liberia,2015-05-09, Confirmed,3151,,Not available
869,Liberia,2015-05-09, Probable,1879,,Not available
870,Liberia,2015-05-09, Total,10 666,,4806
871,Liberia,2015-05-09, Total,10 666,,4806
872,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
873,Liberia,2015-05-09, Probable,1879,-,Data not available.
874,Liberia,2015-05-09, Suspected,5636,-,Data not available.
875,Liberia,2015-05-09, Total,10 666,-,4806
876,Liberia,2015-05-09, Suspected,5636,,Not available
877,Liberia,2015-05-09, Probable,1879,,Not available
878,Liberia,2015-05-09, Confirmed,3151,,Not available
879,Liberia,2015-05-09, Confirmed,3151,,Not available
880,Liberia,2015-05-09, Probable,1879,,Not available
881,Liberia,2015-05-09, Suspected,5636,,Not available
882,Liberia,2015-05-09, Suspected,5636,,Not available
883,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
884,Liberia,2015-05-09, Probable,1879,-,Data not available.
885,Liberia,2015-05-09, Suspected,5636,-,Data not available.
886,Liberia,2015-05-09, Probable,1879,,Not available
887,Liberia,2015-05-09, Suspected,5636,,Not available
888,Liberia,2015-05-09, Total,10 666,,4806
889,Liberia,2015-05-09, Confirmed,3151,,Not available
890,Liberia,2015-05-09, Probable,1879,,Not available
891,Liberia,2015-05-09, Suspected,5636,,Not available
892,Liberia,2015-05-09, Total,10 666,,4806
893,Liberia,2015-05-09, Suspected,5636,,Not available
894,Liberia,2015-05-09, Probable,1879,,Not available
895,Liberia,2015-05-09, Confirmed,3151,,Not available
896,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
897,Liberia,2015-05-09, Probable,1879,-,Data not available.
898,Liberia,2015-05-09, Confirmed,3151,,Not available
899,Liberia,2015-05-09, Suspected,5636,-,Data not available.
900,Liberia,2015-05-09, Total,10 666,,4806
901,Liberia,2015-05-09, Confirmed,3151,,Not available
902,Liberia,2015-05-09, Probable,1879,,Not available
903,Liberia,2015-05-09, Suspected,5636,,Not available
904,Liberia,2015-05-09, Total,10 666,,4806
905,Liberia,2015-05-09, Suspected,5636,,Not available
906,Liberia,2015-05-09, Probable,1879,,Not available
907,Liberia,2015-05-09, Confirmed,3151,,Not available
908,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
909,Liberia,2015-05-09, Probable,1879,-,Data not available.
910,Liberia,2015-05-09, Suspected,5636,-,Data not available.
911,Liberia,2015-05-09, Total,10 666,-,4806
912,Liberia,2015-05-09, Total,10 666,-,4806
913,Liberia,2015-05-09, Confirmed,3151,,Not available
914,Liberia,2015-05-09, Total,10 666,,4806
915,Liberia,2015-05-09, Probable,1879,,Not available
916,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
917,Liberia,2015-05-09, Probable,1879,-,Data not available.
918,Liberia,2015-05-09, Suspected,5636,-,Data not available.
919,Liberia,2015-05-09, Total,10 666,-,4806
920,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
921,Liberia,2015-05-09, Probable,1879,-,Data not available.
922,Liberia,2015-05-09, Suspected,5636,-,Data not available.
923,Liberia,2015-05-09, Total,10 666,-,4806
924,Liberia,2015-05-09, Total,10 666,,4806
925,Liberia,2015-05-09, Confirmed,3151,,Not available
926,Liberia,2015-05-09, Probable,1879,,Not available
927,Liberia,2015-05-09, Suspected,5636,,Not available
928,Liberia,2015-05-09, Suspected,5636,,Not available
929,Liberia,2015-05-09, Total,10 666,,4806
930,Liberia,2015-05-09, Probable,1879,,Not available
931,Liberia,2015-05-09, Suspected,5636,,Not available
932,Liberia,2015-05-09, Total,10 666,,4806
933,Liberia,2015-05-09, Confirmed,3151,,Not available
934,Liberia,2015-05-09, Probable,1879,,Not available
935,Liberia,2015-05-09, Suspected,5636,,Not available
936,Liberia,2015-05-09, Total,10 666,,4806
937,Liberia,2015-05-09, Confirmed,3151,,Not available
938,Liberia,2015-05-09, Probable,1879,,Not available
939,Liberia,2015-05-09, Suspected,5636,,Not available
940,Liberia,2015-05-09, Total,10 666,,4806
941,Liberia,2015-05-09, Confirmed,3151,,Not available
942,Liberia,2015-05-09, Confirmed,3151,,Not available
943,Liberia,2015-05-09, Probable,1879,,Not available
944,Liberia,2015-05-09, Suspected,5636,,Not available
945,Liberia,2015-05-09, Total,10 666,,4806
946,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
947,Liberia,2015-05-09, Confirmed,3151,,Not available
948,Liberia,2015-05-09, Probable,1879,,Not available
949,Liberia,2015-05-09, Suspected,5636,,Not available
950,Liberia,2015-05-09, Total,10 666,,4806
951,Liberia,2015-05-09, Confirmed,3151,,Not available
952,Liberia,2015-05-09, Probable,1879,,Not available
953,Liberia,2015-05-09, Suspected,5636,,Not available
954,Liberia,2015-05-09, Total,10 666,,4806
955,Liberia,2015-05-09, Total,10 666,,4806
956,Liberia,2015-05-09, Confirmed,3151,,Not available
957,Liberia,2015-05-09, Probable,1879,,Not available
958,Liberia,2015-05-09, Probable,1879,-,Data not available.
959,Liberia,2015-05-09, Suspected,5636,,Not available
960,Liberia,2015-05-09, Confirmed,3151,,Not available
961,Liberia,2015-05-09, Probable,1879,,Not available
962,Liberia,2015-05-09, Suspected,5636,,Not available
963,Liberia,2015-05-09, Total,10 666,,4806
964,Liberia,2015-05-09, Suspected,5636,,Not available
965,Liberia,2015-05-09, Probable,1879,,Not available
966,Liberia,2015-05-09, Confirmed,3151,,Not available
967,Liberia,2015-05-09, Total,10 666,-,4806
968,Liberia,2015-05-09, Confirmed,3151,,Not available
969,Liberia,2015-05-09, Probable,1879,,Not available
970,Liberia,2015-05-09, Suspected,5636,,Not available
971,Liberia,2015-05-09, Total,10 666,,4806
972,Liberia,2015-05-09, Total,10 666,,4806
973,Liberia,2015-05-09, Suspected,5636,-,Data not available.
974,Liberia,2015-05-09, Total,10 666,,4806
975,Liberia,2015-05-09, Suspected,5636,,Not available
976,Liberia,2015-05-09, Confirmed,3151,,Not available
977,Liberia,2015-05-09, Probable,1879,,Not available
978,Liberia,2015-05-09, Suspected,5636,,Not available
979,Liberia,2015-05-09, Total,10 666,,4806
980,Liberia,2015-05-09, Confirmed,3151,,Not available
981,Liberia,2015-05-09, Probable,1879,,Not available
982,Liberia,2015-05-09, Suspected,5636,,Not available
983,Liberia,2015-05-09, Total,10 666,,4806
984,Liberia,2015-05-09, Confirmed,3151,0,Data not available.
985,Liberia,2015-05-09, Probable,1879,Not reported.,Data not available.
986,Liberia,2015-05-09, Suspected,5636,Not reported.,Data not available.
987,Liberia,2015-05-09, Total,10 666,0,4806
988,Liberia,2015-05-09, Total,10 666,-,4806
989,Liberia,2015-05-09, Confirmed,3151,,Not available
990,Liberia,2015-05-09, Probable,1879,,Not available
991,Liberia,2015-05-09, Suspected,5636,,Not available
992,Liberia,2015-05-09, Total,10 666,,4806
993,Liberia,2015-05-09, Confirmed,3151,0,Data not available.
994,Liberia,2015-05-09, Probable,1879,Not reported.,Data not available.
995,Liberia,2015-05-09, Suspected,5636,Not reported.,Data not available.
996,Liberia,2015-05-09, Total,10 666,0,4806
997,Liberia,2015-05-09, Confirmed,3151,,Not available
998,Liberia,2015-05-09, Probable,1879,,Not available
999,Liberia,2015-05-09, Suspected,5636,,Not available
1000,Liberia,2015-05-09, Total,10 666,,4806
1001,Liberia,2015-05-09, Confirmed,3151,,Not available
1002,Liberia,2015-05-09, Probable,1879,,Not available
1003,Liberia,2015-05-09, Probable,1879,-,Data not available.
1004,Liberia,2015-05-09, Suspected,5636,-,Data not available.
1005,Liberia,2015-05-09, Probable,1879,,Not available
1006,Liberia,2015-05-09, Total,10 666,,4806
1007,Liberia,2015-05-09, Suspected,5636,,Not available
1008,Liberia,2015-05-09, Suspected,5636,-,Data not available.
1009,Liberia,2015-05-09, Total,10 666,-,4806
1010,Liberia,2015-05-09, Confirmed,3151,,Not available
1011,Liberia,2015-05-09, Probable,1879,,Not available
1012,Liberia,2015-05-09, Suspected,5636,,Not available
1013,Liberia,2015-05-09, Total,10 666,-,4806
1014,Liberia,2015-05-09, Suspected,5636,-,Data not available.
1015,Liberia,2015-05-09, Probable,1879,,Not available
1016,Liberia,2015-05-09, Probable,1879,-,Data not available.
1017,Liberia,2015-05-09, Total,10 666,,4806
1018,Liberia,2015-05-09, Confirmed,3151,-,Data not available.
1019,Liberia,2015-05-09, Probable,1879,-,Data not available.
1020,Liberia,2015-05-09, Suspected,5636,-,Data not available.
1021,Liberia,2015-05-09, Total,10 666,-,4806
